6301	2006-09-18 01:07:50	2010-01-17 20:38:25	3269	3071	861	8	132
10836	2006-10-27 14:38:04	2010-06-18 03:35:34	1949	793	226	9	134
10997	2006-10-29 09:50:38	2010-04-24 01:12:40	1119	9644	38674	12	158
633293	2007-01-14 12:40:10	2010-01-24 11:59:38	2174	6029	12718	11	121
717883	2007-01-27 22:14:18	2010-02-06 06:25:58	7731	7029	873	6	70
763068	2007-02-10 10:51:38	2010-07-26 04:48:03	120	130	686	6	35
783705	2007-02-20 11:16:44	2010-05-22 03:35:34	1660	23977	23205	8	68
788352	2007-02-22 04:25:19	2009-12-31 02:18:03	1320	969	3528	14	106
810011	2007-03-04 04:32:02	2010-01-27 06:37:11	11239	10537	2749	13	59
815299	2007-03-06 10:32:23	2010-04-16 21:22:29	3779	3920	1830	10	120
817045	2007-03-06 22:11:52	2010-01-05 13:15:31	12848	12933	2315	5	63
1091571	2007-03-13 09:52:30	2010-01-03 14:19:45	3697	5129	7819	13	101
1303381	2007-03-16 13:28:09	2010-01-05 01:27:05	2990	3367	2361	14	119
1322691	2007-03-16 18:56:20	2010-01-03 01:00:32	13117	17053	893	9	22
1467621	2007-03-18 22:33:40	2010-01-27 10:31:24	4942	7445	20577	9	134
1599001	2007-03-20 02:17:41	2010-02-19 01:36:25	1591	1683	488	7	89
1907361	2007-03-22 12:05:09	2010-03-12 23:26:05	4995	4570	3033	6	73
2077351	2007-03-23 22:21:33	2010-01-21 19:33:26	1076	1370	1977	12	138
2157321	2007-03-25 00:20:27	2010-01-27 12:28:01	10316	12272	1896	9	50
2219081	2007-03-25 18:27:44	2010-02-28 03:03:26	2001	1534	3681	8	0
2243161	2007-03-25 21:50:44	2010-01-05 00:22:09	8266	8134	1309	8	115
2269491	2007-03-26 02:43:32	2010-01-18 03:13:14	745	829	1064	7	157
2695911	2007-03-28 12:44:57	2010-03-06 07:25:54	3452	3467	1146	8	146
2884771	2007-03-29 14:51:11	2010-05-01 05:52:11	62962	1234960	4068	8	138
3060631	2007-03-31 08:20:56	2010-02-16 22:12:14	9214	8372	6667	8	43
3076591	2007-03-31 15:12:48	2010-03-13 06:26:08	18059	17113	3551	11	114
3291901	2007-04-03 01:04:30	2010-01-01 23:44:44	6071	5913	2072	8	105
3881391	2007-04-09 04:29:05	2010-01-30 06:03:28	17100	16779	8002	6	139
3908631	2007-04-09 09:32:29	2010-06-08 05:55:05	1998	1797	3523	10	155
4046051	2007-04-10 10:51:44	2010-03-31 14:50:01	9811	8951	2195	9	55
4567451	2007-04-13 22:38:47	2010-04-06 17:50:04	1715	620	5667	8	38
5169871	2007-04-18 19:36:51	2010-01-31 00:36:59	1060	299	264	11	37
5414782	2007-04-22 18:56:00	2010-01-22 06:03:20	7133	7060	1950	4	67
5439702	2007-04-23 12:30:47	2010-02-04 00:49:09	13746	15414	4901	6	105
5448632	2007-04-23 19:35:48	2010-02-07 13:47:16	786	341	71	8	116
5609382	2007-04-28 13:48:41	2010-01-04 03:35:15	8172	7567	1670	6	130
5693062	2007-05-01 14:50:58	2010-01-29 01:12:21	18933	17429	8103	8	121
5732162	2007-05-03 00:47:39	2010-07-05 13:03:20	22318	22359	1151	14	99
5751742	2007-05-03 16:41:06	2010-07-17 08:10:57	4851	4472	12101	7	37
5775622	2007-05-04 16:09:14	2010-01-05 02:11:28	13782	13694	743	7	143
5884032	2007-05-08 21:44:12	2010-01-01 03:36:30	5223	5118	57	9	14
5925162	2007-05-10 04:54:24	2010-01-18 02:06:34	8054	8000	2983	7	157
5925682	2007-05-10 05:20:02	2010-01-01 11:46:11	16967	15424	11152	9	36
5971902	2007-05-11 14:14:19	2010-02-11 21:30:24	10937	11365	423	9	74
6002602	2007-05-12 23:55:35	2010-02-22 04:51:11	16593	15082	1224	8	145
6087712	2007-05-16 11:29:52	2010-01-05 03:17:50	14379	13072	5757	14	151
6154322	2007-05-19 00:22:52	2010-01-05 12:32:38	2597	10097	7730	7	144
6267832	2007-05-23 13:17:25	2010-01-12 07:49:49	191	174	63	8	51
6332272	2007-05-25 22:18:29	2010-07-06 09:02:35	4302	5119	2870	11	133
6333392	2007-05-25 23:21:55	2010-01-31 16:10:05	9018	9111	2769	11	15
6356472	2007-05-27 01:33:03	2010-01-31 18:07:27	1869	1431	2176	11	115
6774442	2007-06-12 14:03:38	2010-02-12 07:55:27	339	150	53	12	156
6859412	2007-06-16 17:33:58	2010-02-26 11:05:45	3512	4492	1072	13	157
6861662	2007-06-16 21:46:39	2010-02-05 22:01:26	3673	3567	1281	12	104
6871812	2007-06-17 09:53:59	2010-07-25 01:52:55	9072	16454	4164	9	81
6901952	2007-06-18 18:29:13	2010-02-18 06:27:14	949	82	6	6	0
